From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),CH4 (),Xylene (ug/m3),AT (degree C),RF (mm)
2020-11-14 03:00:00,2020-11-14 04:00:00,179.1,273.53,,64.77,,,7.32,0.1,4.0,0.0,,,,89.1,0.52,171.07,223.0,,,0.79,,,0.0
2020-11-14 04:00:00,2020-11-14 05:00:00,195.81,293.3,,60.57,,,7.6,0.1,4.0,0.0,,,,89.1,0.51,132.25,223.13,,,0.78,,,0.0
2020-11-14 05:00:00,2020-11-14 06:00:00,195.17,288.95,,57.2,,,7.95,,,,,,,89.1,0.51,138.67,223.4,,,0.91,,,0.0
2020-11-14 06:00:00,2020-11-14 07:00:00,202.72,302.03,,59.69,,,8.03,0.1,4.0,0.0,,,,89.1,0.5,132.47,223.3,,,1.0,,,0.0
2020-11-14 07:00:00,2020-11-14 08:00:00,222.69,333.35,,60.7,,,7.77,,,,,,,89.1,0.53,133.65,223.2,,,0.96,,,0.0
2020-11-14 08:00:00,2020-11-14 09:00:00,251.34,376.82,,78.95,,,7.32,,,,,,,89.1,0.67,136.74,224.03,,,0.97,,,0.0
2020-11-14 09:00:00,2020-11-14 10:00:00,298.25,459.98,,109.27,,,11.17,0.1,4.0,0.0,,,,77.6,0.7,164.63,223.57,,,0.95,,,0.0
2020-11-14 10:00:00,2020-11-14 11:00:00,299.39,470.8,,115.63,,,6.71,,,,,,,58.55,,,224.6,,,0.95,,,0.0
2020-11-14 11:00:00,2020-11-14 12:00:00,197.39,334.93,,84.84,,,6.38,,,,,,,42.67,1.51,13.08,222.73,,,0.92,,,0.0
2020-11-14 12:00:00,2020-11-14 13:00:00,194.96,354.73,,87.85,,,5.84,,,,,,,36.74,1.47,22.38,223.43,,,0.84,,,0.0
2020-11-14 13:00:00,2020-11-14 14:00:00,201.51,358.95,,76.3,,,5.75,,,,,,,34.79,1.22,17.67,223.35,,,0.8,,,0.0
2020-11-14 14:00:00,2020-11-14 15:00:00,158.37,277.9,,81.37,,,4.41,,,,,,,43.13,0.72,6.93,222.6,,,0.72,,,0.0
2020-11-14 15:00:00,2020-11-14 16:00:00,183.31,321.75,,102.22,,,3.65,,,,,,,48.17,0.63,21.52,224.6,,,0.72,,,0.0
2020-11-14 16:00:00,2020-11-14 17:00:00,149.84,262.7,,159.42,,350.0,22.52,0.1,4.0,167.5,,,,61.77,0.49,24.17,225.27,,,0.71,,,0.0
2020-11-14 17:00:00,2020-11-14 18:00:00,169.53,286.33,,140.92,,,2.97,,,,,,,76.86,0.45,46.31,222.97,,,0.69,,,0.0
2020-11-14 18:00:00,2020-11-14 19:00:00,167.77,276.02,,123.3,,,2.71,,,,,,,86.96,0.39,87.53,222.73,,,0.67,,,0.0
2020-11-14 19:00:00,2020-11-14 20:00:00,177.81,285.65,,114.11,,,12.74,0.1,4.0,60.0,,,,89.1,0.41,92.34,222.58,,,0.67,,,0.0
2020-11-14 20:00:00,2020-11-14 21:00:00,175.88,278.5,,99.46,,,2.91,0.1,4.0,0.0,,,,89.1,0.17,144.65,222.15,,,0.63,,,0.0
2020-11-14 21:00:00,2020-11-14 22:00:00,206.59,324.53,,83.88,,71.2,2.78,0.1,4.0,,,,,89.1,0.31,86.52,222.0,,,0.88,,,0.0
2020-11-14 22:00:00,2020-11-14 23:00:00,220.98,343.73,,69.64,,79.6,3.31,0.01,11.73,0.0,,,,89.1,0.08,149.02,222.43,,,1.13,,,0.0
2020-11-14 23:00:00,2020-11-15 00:00:00,266.35,399.5,,71.36,,,3.61,,,,,,,89.1,0.2,210.83,222.5,,,1.39,,,0.0
2020-11-15 00:00:00,2020-11-15 01:00:00,379.49,552.45,,37.9,,,4.8,0.1,4.0,0.0,,,,89.1,0.54,305.26,222.73,,,1.39,,,0.0
2020-11-15 01:00:00,2020-11-15 02:00:00,419.2,603.73,,33.7,,,5.55,,,,,,,89.1,0.52,277.22,223.55,,,1.36,,,0.0
2020-11-15 02:00:00,2020-11-15 03:00:00,480.8,680.25,,30.38,,,6.15,,,,,,,89.1,0.52,245.32,223.4,,,1.44,,,0.0
2020-11-15 03:00:00,2020-11-15 04:00:00,500.63,698.23,,29.04,,,7.33,0.1,4.0,0.0,,,,89.1,0.52,258.43,223.38,,,1.44,,,0.0
2020-11-15 04:00:00,2020-11-15 05:00:00,402.14,562.07,,29.24,,73.53,7.75,0.95,9.52,2.62,,,,79.77,0.53,250.6,223.4,,,1.43,,,0.0
2020-11-15 05:00:00,2020-11-15 06:00:00,411.39,581.2,,29.05,,70.53,7.86,0.95,9.41,2.65,,,,89.1,0.57,230.1,222.9,,,1.44,,,0.0
2020-11-15 06:00:00,2020-11-15 07:00:00,457.78,638.27,,33.05,,57.4,7.57,0.96,9.47,2.63,,,,89.1,0.58,229.95,222.9,,,1.38,,,0.0
2020-11-15 07:00:00,2020-11-15 08:00:00,520.6,719.9,,36.89,,54.74,7.86,0.99,9.09,2.76,,,,89.1,0.6,228.88,222.9,,,1.38,,,0.0
2020-11-15 08:00:00,2020-11-15 09:00:00,223.2,336.0,,46.36,,51.48,7.59,0.99,9.21,2.77,,,,89.1,0.36,91.42,222.3,,,1.34,,,0.0
2020-11-15 09:00:00,2020-11-15 10:00:00,249.25,434.03,,36.01,,47.37,6.5,0.96,9.48,2.77,,,,59.55,0.69,251.1,225.33,,,1.21,,,0.0
2020-11-15 10:00:00,2020-11-15 11:00:00,206.66,359.13,,35.36,,48.41,6.53,0.93,9.82,2.75,,,,50.54,1.22,258.23,226.13,,,1.14,,,0.0
2020-11-15 11:00:00,2020-11-15 12:00:00,153.26,288.75,,32.41,,47.94,6.14,0.86,11.43,2.77,,,,43.2,1.77,260.98,224.7,,,1.09,,,0.0
2020-11-15 12:00:00,2020-11-15 13:00:00,150.34,286.1,,32.23,,46.93,5.0,0.85,11.51,2.84,,,,40.71,1.79,260.66,224.98,,,1.03,,,0.0
2020-11-15 13:00:00,2020-11-15 14:00:00,130.0,253.97,,32.03,,45.4,4.51,0.82,12.66,2.88,,,,39.94,1.51,258.47,225.2,,,0.98,,,0.0
2020-11-15 14:00:00,2020-11-15 15:00:00,117.89,228.55,,32.33,,43.75,3.9,0.82,12.28,2.91,,,,41.8,1.01,253.17,225.05,,,0.95,,,0.0
2020-11-15 15:00:00,2020-11-15 16:00:00,105.91,200.17,,38.01,,43.56,3.19,0.82,11.5,2.78,,,,48.11,0.61,253.68,225.83,,,0.89,,,0.0
2020-11-15 16:00:00,2020-11-15 17:00:00,88.78,171.9,,47.01,,44.62,2.65,0.84,20.1,2.71,,,,68.03,0.37,173.21,224.2,,,0.89,,,0.0
2020-11-15 17:00:00,2020-11-15 18:00:00,89.76,170.5,,46.84,,43.91,1.92,0.88,12.01,2.68,,,,77.0,0.43,63.72,222.03,,,0.86,,,0.0
2020-11-15 18:00:00,2020-11-15 19:00:00,88.14,159.9,,40.53,,41.4,1.65,0.9,9.93,2.68,,,,76.36,0.42,85.33,222.57,,,0.85,,,0.0
2020-11-15 19:00:00,2020-11-15 20:00:00,75.58,128.3,,36.38,,40.4,1.41,0.95,9.53,2.75,,,,76.66,0.33,115.8,223.25,,,0.81,,,0.0
2020-11-15 20:00:00,2020-11-15 21:00:00,88.33,149.57,,42.47,,41.45,1.17,0.94,9.74,2.72,,,,79.43,0.51,232.62,223.6,,,0.81,,,0.0
2020-11-15 21:00:00,2020-11-15 22:00:00,124.7,200.67,,39.63,,41.84,1.15,0.94,9.71,2.73,,,,79.24,0.58,246.36,224.0,,,0.81,,,0.0
2020-11-15 22:00:00,2020-11-15 23:00:00,104.02,174.05,,36.78,,41.32,0.82,0.95,9.52,2.75,,,,81.59,0.37,256.11,224.25,,,0.79,,,0.0
2020-11-15 23:00:00,2020-11-16 00:00:00,93.57,158.1,,33.52,,39.93,2.11,0.97,9.43,2.77,,,,82.01,0.24,252.79,224.3,,,0.79,,,0.0
2020-11-16 00:00:00,2020-11-16 01:00:00,94.02,164.93,,55.92,,40.19,5.25,0.98,9.48,2.75,,,,81.93,0.34,253.55,224.37,,,0.77,,,0.0
2020-11-16 01:00:00,2020-11-16 02:00:00,79.22,136.83,,51.05,,39.75,5.23,0.97,9.29,2.72,,,,83.23,0.33,253.16,224.2,,,0.81,,,0.0
2020-11-16 02:00:00,2020-11-16 03:00:00,67.87,115.57,,47.1,,40.32,4.92,0.95,9.15,2.61,,,,82.86,0.32,251.38,224.43,,,0.79,,,0.0
2020-11-16 03:00:00,2020-11-16 04:00:00,54.01,97.0,,49.64,,39.8,4.63,0.96,9.32,2.64,,,,84.3,0.33,254.56,224.4,,,0.81,,,0.0
2020-11-16 04:00:00,2020-11-16 05:00:00,55.17,99.3,,49.99,,40.86,4.57,0.94,9.18,2.58,,,,85.96,0.35,250.26,224.4,,,0.79,,,0.0
2020-11-16 05:00:00,2020-11-16 06:00:00,59.48,110.85,,53.09,,41.66,4.3,0.94,9.31,2.58,,,,85.02,0.36,244.12,224.5,,,0.76,,,0.0
2020-11-16 06:00:00,2020-11-16 07:00:00,69.82,138.7,,59.75,,41.14,4.05,0.92,9.46,2.56,,,,83.31,0.36,250.85,224.65,,,0.79,,,0.0
2020-11-16 07:00:00,2020-11-16 08:00:00,56.67,107.75,,72.69,,42.03,4.19,0.92,9.38,2.56,,,,79.49,0.51,247.12,224.35,,,0.78,,,0.0
2020-11-16 08:00:00,2020-11-16 09:00:00,55.84,102.55,,62.18,,41.45,4.54,0.92,9.43,2.59,,,,78.42,0.58,256.46,224.7,,,0.79,,,0.0
2020-11-16 09:00:00,2020-11-16 10:00:00,44.39,84.1,,57.25,,37.44,4.08,0.94,9.74,2.73,,,,75.35,1.05,255.91,224.88,,,0.74,,,0.0
2020-11-16 10:00:00,2020-11-16 11:00:00,38.74,75.25,,58.2,,36.28,6.01,0.95,10.0,2.79,,,,70.38,1.71,262.2,227.05,,,0.78,,,0.0
2020-11-16 11:00:00,2020-11-16 12:00:00,36.17,72.05,,55.41,,37.76,3.53,0.91,10.3,2.8,,,,65.34,2.26,264.8,225.85,,,0.79,,,0.0
2020-11-16 12:00:00,2020-11-16 13:00:00,39.02,78.8,,56.6,,37.16,5.27,0.91,10.86,2.88,,,,63.72,2.45,268.67,225.5,,,0.74,,,0.0
2020-11-16 13:00:00,2020-11-16 14:00:00,31.46,59.63,,54.88,,36.48,5.57,0.89,11.96,2.83,,,,62.02,1.76,259.99,225.17,,,0.77,,,0.0
2020-11-16 14:00:00,2020-11-16 15:00:00,27.39,51.0,,55.82,,36.29,4.53,0.9,10.95,2.82,,,,66.19,0.89,258.82,226.8,,,0.75,,,0.0
2020-11-16 15:00:00,2020-11-16 16:00:00,28.85,53.3,,60.31,,36.35,4.21,0.91,10.74,2.79,,,,67.33,0.68,254.48,227.9,,,0.76,,,0.0
2020-11-16 16:00:00,2020-11-16 17:00:00,30.37,57.37,,60.52,,38.24,4.31,0.91,10.0,2.78,,,,72.63,0.54,252.37,227.03,,,0.73,,,0.0
2020-11-16 17:00:00,2020-11-16 18:00:00,35.27,64.07,,80.0,,41.95,4.21,0.92,9.76,2.78,,,,78.5,0.47,256.85,225.33,,,0.76,,,0.0
2020-11-16 18:00:00,2020-11-16 19:00:00,48.26,82.87,,83.72,,53.17,4.71,0.91,9.56,2.71,,,,83.67,0.41,256.43,224.53,,,0.77,,,0.0
2020-11-16 19:00:00,2020-11-16 20:00:00,48.75,83.43,,83.0,,56.83,5.03,0.91,9.54,2.7,,,,86.48,0.34,254.25,224.63,,,0.75,,,0.0
2020-11-16 20:00:00,2020-11-16 21:00:00,65.84,110.77,,84.93,,56.9,5.26,0.89,9.54,2.68,,,,86.56,0.31,250.07,224.67,,,0.83,,,0.0
2020-11-16 21:00:00,2020-11-16 22:00:00,58.38,98.65,,79.99,,51.67,4.98,0.9,9.36,2.67,,,,87.91,0.28,234.88,224.55,,,0.81,,,0.0
2020-11-16 22:00:00,2020-11-16 23:00:00,52.87,87.0,,65.2,,47.93,5.12,0.92,9.54,2.7,,,,89.1,0.15,245.01,224.25,,,0.82,,,0.0
2020-11-16 23:00:00,2020-11-17 00:00:00,63.17,101.8,,69.04,,50.49,2.37,0.92,9.31,2.66,,,,89.1,0.43,237.55,224.1,,,0.87,,,0.0
2020-11-17 00:00:00,2020-11-17 01:00:00,69.73,108.42,,32.45,,48.76,4.87,0.96,9.66,2.76,,,,89.1,0.56,239.89,224.22,,,0.88,,,0.0
2020-11-17 01:00:00,2020-11-17 02:00:00,75.74,120.95,,28.79,,46.64,4.69,0.98,9.7,2.77,,,,89.1,0.59,237.71,223.75,,,0.89,,,0.0
2020-11-17 02:00:00,2020-11-17 03:00:00,76.0,122.5,,27.45,,46.48,5.6,0.98,9.66,2.79,,,,89.1,0.59,233.74,223.75,,,0.85,,,0.0
2020-11-17 03:00:00,2020-11-17 04:00:00,73.1,117.53,,26.98,,44.94,5.32,0.99,9.72,2.74,,,,89.1,0.58,232.91,223.43,,,0.88,,,0.0
2020-11-17 04:00:00,2020-11-17 05:00:00,63.8,104.07,,26.43,,42.65,5.15,0.98,9.66,2.7,,,,89.1,0.58,230.84,223.23,,,0.89,,,0.0
2020-11-17 05:00:00,2020-11-17 06:00:00,58.3,96.28,,25.71,,41.49,5.41,0.98,9.61,2.66,,,,89.1,0.58,229.95,223.25,,,0.94,,,0.0
2020-11-17 06:00:00,2020-11-17 07:00:00,44.08,71.92,,24.93,,43.09,5.8,0.96,9.41,2.55,,,,89.1,0.58,231.48,223.05,,,0.99,,,0.0
2020-11-17 07:00:00,2020-11-17 08:00:00,49.98,86.8,,29.45,,45.23,5.95,0.96,9.23,2.59,,,,89.1,0.77,231.17,222.5,,,1.05,,,0.0
2020-11-17 08:00:00,2020-11-17 09:00:00,64.55,114.2,,36.0,,44.65,5.57,0.95,9.44,2.62,,,,88.85,0.74,207.06,222.88,,,1.02,,,0.0
2020-11-17 09:00:00,2020-11-17 10:00:00,80.23,143.65,,39.47,,44.38,5.87,0.93,9.5,2.62,,,,73.8,0.82,249.15,224.5,,,0.97,,,0.0
2020-11-17 10:00:00,2020-11-17 11:00:00,57.15,105.3,,40.02,,43.85,6.05,0.87,10.0,2.79,,,,54.4,2.06,259.31,225.1,,,0.98,,,0.0
2020-11-17 11:00:00,2020-11-17 12:00:00,47.95,90.83,,34.79,,43.49,6.04,0.83,11.04,2.82,,,,47.37,2.81,267.25,224.48,,,0.99,,,0.0
2020-11-17 12:00:00,2020-11-17 13:00:00,45.62,87.4,,32.06,,41.22,5.52,0.83,11.81,2.79,,,,46.05,3.04,266.88,225.25,,,0.93,,,0.0
2020-11-17 13:00:00,2020-11-17 14:00:00,39.71,77.7,,29.48,,39.89,5.14,0.81,12.52,2.86,,,,45.46,2.04,260.88,224.8,,,0.84,,,0.0
2020-11-17 14:00:00,2020-11-17 15:00:00,32.8,64.4,,27.09,,38.2,5.1,0.83,11.62,2.78,,,,46.2,1.34,259.93,226.15,,,0.83,,,0.0
2020-11-17 15:00:00,2020-11-17 16:00:00,33.08,66.3,,29.77,,38.02,4.74,0.84,10.91,2.73,,,,48.75,0.9,254.95,226.85,,,0.85,,,0.0
2020-11-17 16:00:00,2020-11-17 17:00:00,34.2,66.95,,39.27,,35.2,4.71,0.91,10.89,2.67,,,,55.23,0.64,251.48,225.3,,,0.83,,,0.0
2020-11-17 17:00:00,2020-11-17 18:00:00,35.79,67.33,,60.98,,39.7,4.43,0.92,10.32,2.64,,,,65.39,0.54,252.59,224.43,,,0.81,,,0.0
2020-11-17 18:00:00,2020-11-17 19:00:00,40.21,72.83,,62.2,,48.44,4.66,0.93,9.89,2.59,,,,77.65,0.53,253.1,224.27,,,0.77,,,0.0
2020-11-17 19:00:00,2020-11-17 20:00:00,46.58,82.2,,55.93,,50.24,4.74,0.96,9.71,2.68,,,,83.41,0.47,256.19,224.03,,,0.83,,,0.0
2020-11-17 20:00:00,2020-11-17 21:00:00,54.28,95.0,,51.75,,52.0,5.03,0.94,9.62,2.56,,,,85.93,0.39,252.96,223.95,,,0.82,,,0.0
2020-11-17 21:00:00,2020-11-17 22:00:00,57.73,100.2,,46.8,,48.64,4.67,0.94,9.46,2.58,,,,87.78,0.32,258.37,223.63,,,0.82,,,0.0
2020-11-17 22:00:00,2020-11-17 23:00:00,51.94,88.88,,42.56,,44.27,4.21,0.96,9.62,2.59,,,,89.06,0.27,248.41,223.85,,,0.82,,,0.0
2020-11-17 23:00:00,2020-11-18 00:00:00,56.96,97.67,,40.61,,43.72,4.24,0.94,9.5,2.55,,,,89.1,0.2,245.71,223.77,,,0.8,,,0.0
2020-11-18 00:00:00,2020-11-18 01:00:00,68.38,110.4,,40.23,,42.74,5.16,0.94,9.4,2.54,,,,89.1,0.18,260.53,223.68,,,0.74,,,0.0
2020-11-18 01:00:00,2020-11-18 02:00:00,56.89,93.65,,35.53,,43.14,5.12,0.94,9.35,2.56,,,,89.1,0.14,232.53,223.95,,,0.78,,,0.0
2020-11-18 02:00:00,2020-11-18 03:00:00,86.45,135.35,,33.02,,44.13,5.0,0.95,9.15,2.62,,,,89.1,0.26,254.68,223.6,,,0.75,,,0.0
2020-11-18 03:00:00,2020-11-18 04:00:00,88.28,129.83,,31.99,,43.22,5.17,0.97,9.12,2.69,,,,89.1,0.51,241.37,223.4,,,0.75,,,0.0
2020-11-18 04:00:00,2020-11-18 05:00:00,71.41,107.75,,31.3,,42.36,5.19,0.97,9.21,2.61,,,,89.1,0.57,237.34,223.4,,,0.78,,,0.0
2020-11-18 05:00:00,2020-11-18 06:00:00,70.31,105.55,,31.17,,42.89,4.75,0.95,9.13,2.58,,,,89.1,0.58,234.52,223.45,,,0.76,,,0.0
2020-11-18 06:00:00,2020-11-18 07:00:00,71.34,110.4,,28.69,,41.29,4.71,1.0,9.28,2.65,,,,89.1,0.58,232.01,223.2,,,0.75,,,0.0
2020-11-18 07:00:00,2020-11-18 08:00:00,81.82,128.4,,40.35,,42.64,6.94,0.99,9.23,2.65,,,,89.1,0.68,236.27,223.4,,,0.79,,,0.0
2020-11-18 08:00:00,2020-11-18 09:00:00,97.09,164.4,,43.66,,42.05,4.79,0.99,9.46,2.58,,,,88.67,1.02,240.55,223.3,,,0.81,,,0.0
2020-11-18 09:00:00,2020-11-18 10:00:00,130.42,221.5,,48.22,,42.0,4.98,0.95,9.58,2.66,,,,62.02,0.98,260.95,224.8,,,0.81,,,0.0
2020-11-18 10:00:00,2020-11-18 11:00:00,94.7,162.95,,35.64,,39.04,5.6,0.9,10.32,2.72,,,,48.28,1.77,262.38,226.2,,,0.79,,,0.0
2020-11-18 11:00:00,2020-11-18 12:00:00,58.59,109.8,,28.86,,38.78,5.51,0.9,10.91,2.74,,,,40.11,2.66,262.37,224.85,,,0.79,,,0.0
2020-11-18 12:00:00,2020-11-18 13:00:00,68.76,123.8,,27.55,,38.2,5.71,0.83,12.45,2.86,,,,38.02,2.76,266.96,224.6,,,0.76,,,0.0
2020-11-18 13:00:00,2020-11-18 14:00:00,56.54,103.9,,26.63,,37.56,5.28,0.83,12.62,2.87,,,,39.3,2.03,261.72,224.8,,,0.74,,,0.0
2020-11-18 14:00:00,2020-11-18 15:00:00,55.53,103.25,,27.23,,36.84,5.08,0.82,12.37,2.82,,,,42.09,1.41,252.64,226.4,,,0.74,,,0.0
2020-11-18 15:00:00,2020-11-18 16:00:00,60.31,105.73,,27.71,,36.96,4.93,0.84,11.04,2.75,,,,45.23,0.95,255.82,225.83,,,0.72,,,0.0
2020-11-18 16:00:00,2020-11-18 17:00:00,54.42,91.55,,38.24,,39.38,4.67,0.86,10.51,2.63,,,,52.63,0.65,247.96,224.7,,,0.72,,,0.0
2020-11-18 17:00:00,2020-11-18 18:00:00,54.72,97.5,,67.26,,46.55,7.01,0.89,9.7,2.58,,,,66.72,0.54,247.64,224.37,,,0.69,,,0.0
2020-11-18 18:00:00,2020-11-18 19:00:00,69.88,126.3,,75.55,,55.53,4.9,0.91,9.42,2.55,,,,77.81,0.52,254.37,223.9,,,0.72,,,0.0
2020-11-18 19:00:00,2020-11-18 20:00:00,79.2,140.15,,68.74,,56.09,5.24,0.94,9.27,2.62,,,,83.46,0.44,249.62,223.85,,,0.74,,,0.0
2020-11-18 20:00:00,2020-11-18 21:00:00,107.45,174.67,,65.31,,56.37,5.37,0.97,9.14,2.67,,,,84.47,0.42,248.8,223.87,,,0.75,,,0.0
2020-11-18 21:00:00,2020-11-18 22:00:00,142.47,214.6,,64.65,,56.41,5.64,0.97,9.07,2.65,,,,84.33,0.41,254.92,223.75,,,0.73,,,0.0
2020-11-18 22:00:00,2020-11-18 23:00:00,75.05,124.4,,56.34,,56.06,5.97,0.99,9.09,2.67,,,,87.6,0.37,247.02,223.8,,,0.75,,,0.0
2020-11-18 23:00:00,2020-11-19 00:00:00,91.91,149.2,,53.1,,54.54,5.74,0.98,9.16,2.53,,,,89.1,0.33,243.03,223.2,,,0.72,,,0.0
2020-11-19 00:00:00,2020-11-19 01:00:00,108.56,170.2,,68.05,,54.13,2.25,0.98,9.14,2.52,,,,89.1,0.28,259.41,223.2,,,0.79,,,0.0
2020-11-19 01:00:00,2020-11-19 02:00:00,91.88,142.2,,67.64,,54.08,2.22,0.99,9.1,2.5,,,,89.1,0.24,240.27,223.57,,,0.81,,,0.0
2020-11-19 02:00:00,2020-11-19 03:00:00,71.16,113.27,,67.12,,53.01,2.25,0.97,9.3,2.48,,,,89.1,0.17,264.5,223.67,,,0.83,,,0.0
2020-11-19 03:00:00,2020-11-19 04:00:00,111.59,166.4,,65.46,,50.29,2.22,0.96,9.4,2.44,,,,89.1,0.17,236.54,223.25,,,0.85,,,0.0
2020-11-19 04:00:00,2020-11-19 05:00:00,97.21,144.27,,65.27,,49.11,2.25,0.95,9.53,2.44,,,,89.1,0.15,260.25,223.33,,,0.92,,,0.0
2020-11-19 05:00:00,2020-11-19 06:00:00,96.15,141.62,,66.28,,47.58,2.29,0.96,9.62,2.45,,,,89.1,0.21,252.63,223.2,,,0.99,,,0.0
2020-11-19 06:00:00,2020-11-19 07:00:00,107.21,153.17,,65.33,,47.37,2.31,0.95,9.56,2.51,,,,89.1,0.42,243.24,223.37,,,1.04,,,0.0
2020-11-19 07:00:00,2020-11-19 08:00:00,,,,,,,,,,,,,,,,,,,,,,,
2020-11-19 08:00:00,2020-11-19 09:00:00,,,,,,,,,,,,,,,,,,,,,,,
2020-11-19 09:00:00,2020-11-19 10:00:00,125.16,214.4,,66.88,,47.72,2.3,0.97,9.38,2.71,,,,58.95,1.1,,224.4,,,1.13,,,0.0
2020-11-19 10:00:00,2020-11-19 11:00:00,96.39,166.17,,68.25,,43.29,2.21,0.92,9.76,2.71,,,,47.34,2.02,261.6,225.77,,,1.09,,,0.0
2020-11-19 11:00:00,2020-11-19 12:00:00,65.06,118.3,,71.22,,41.06,2.13,0.86,11.37,2.76,,,,41.04,2.41,263.49,224.5,,,1.0,,,0.0
2020-11-19 12:00:00,2020-11-19 13:00:00,71.6,131.43,,75.45,,42.48,2.26,0.86,12.11,2.79,,,,37.63,2.38,264.49,224.8,,,0.96,,,0.0
2020-11-19 13:00:00,2020-11-19 14:00:00,75.31,137.57,,70.39,,38.84,2.26,0.83,11.77,2.86,,,,36.07,2.1,260.67,224.73,,,0.92,,,0.0
2020-11-19 14:00:00,2020-11-19 15:00:00,60.82,112.6,,70.02,,36.96,2.34,0.84,11.2,2.81,,,,36.82,1.25,256.6,227.0,,,0.87,,,0.0
2020-11-19 15:00:00,2020-11-19 16:00:00,64.71,116.77,,71.18,,36.56,2.42,0.85,10.75,2.69,,,,37.49,0.87,254.15,225.73,,,0.82,,,0.0
2020-11-19 16:00:00,2020-11-19 17:00:00,58.2,109.0,,65.44,,36.43,2.68,0.85,10.47,2.61,,,,45.13,0.63,250.54,224.57,,,0.8,,,0.0
2020-11-19 17:00:00,2020-11-19 18:00:00,52.23,95.47,,66.35,,43.61,4.06,0.88,9.68,2.51,,,,62.25,0.53,251.82,224.1,,,0.77,,,0.0
2020-11-19 18:00:00,2020-11-19 19:00:00,53.36,95.15,,65.41,,48.38,3.76,0.9,9.59,2.51,,,,70.59,0.53,250.26,223.7,,,0.77,,,0.0
2020-11-19 19:00:00,2020-11-19 20:00:00,61.99,108.37,,66.15,,49.41,2.85,0.91,9.32,2.47,,,,78.39,0.51,250.97,223.73,,,0.73,,,0.0
2020-11-19 20:00:00,2020-11-19 21:00:00,73.1,127.17,,66.27,,53.68,2.63,0.95,9.59,2.58,,,,83.57,0.45,249.46,223.43,,,0.73,,,0.0
2020-11-19 21:00:00,2020-11-19 22:00:00,88.73,147.45,,67.16,,58.87,2.7,0.98,9.59,2.63,,,,88.03,0.28,244.17,223.3,,,0.72,,,0.0
2020-11-19 22:00:00,2020-11-19 23:00:00,96.35,151.37,,66.75,,59.33,2.58,0.98,9.6,2.63,,,,89.1,0.19,258.77,223.3,,,0.71,,,0.0
