From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2020-11-14 03:00:00,2020-11-14 04:00:00,150.4,437.85,110.32,52.22,115.59,150.27,3.21,3.18,4.23,6.99,28.05,2.27,0.58,64.37,2.94,237.98,,2.36,20.9,0.0
2020-11-14 04:00:00,2020-11-14 05:00:00,156.1,427.1,111.94,49.11,115.26,161.58,3.33,2.99,4.75,6.88,29.93,2.47,0.64,65.81,2.94,238.42,,2.55,20.34,0.0
2020-11-14 05:00:00,2020-11-14 06:00:00,180.32,417.22,109.52,52.79,115.25,149.76,3.27,2.79,4.98,6.61,30.11,2.43,0.63,64.02,2.96,238.23,,2.54,20.5,0.0
2020-11-14 06:00:00,2020-11-14 07:00:00,191.77,490.27,99.98,50.95,106.64,130.32,3.17,3.0,4.6,6.46,28.09,2.07,0.54,65.37,2.89,237.25,,2.17,20.59,0.0
2020-11-14 07:00:00,2020-11-14 08:00:00,191.15,533.17,95.84,52.52,104.19,142.49,3.21,3.06,6.36,7.15,29.88,2.16,0.56,65.06,2.93,237.9,,2.23,21.43,0.0
2020-11-14 08:00:00,2020-11-14 09:00:00,215.8,617.88,82.05,65.4,99.9,149.07,3.08,2.97,7.74,6.9,29.64,2.17,0.57,59.46,2.19,235.1,,2.28,22.51,0.0
2020-11-14 09:00:00,2020-11-14 10:00:00,243.2,513.53,60.85,67.79,84.17,120.07,3.04,2.95,9.13,6.61,28.43,2.07,0.55,53.52,2.3,236.62,,2.17,24.43,0.0
2020-11-14 10:00:00,2020-11-14 11:00:00,228.35,578.1,63.27,95.16,100.42,125.82,3.0,3.22,17.19,5.96,23.91,1.73,0.46,50.74,2.02,245.92,,1.82,25.46,0.0
2020-11-14 11:00:00,2020-11-14 12:00:00,243.62,591.07,44.29,100.65,88.11,135.26,2.9,3.23,17.48,5.91,22.01,1.64,0.43,46.2,1.45,238.69,,1.72,26.29,0.0
2020-11-14 12:00:00,2020-11-14 13:00:00,235.45,575.17,35.72,96.85,79.34,147.96,2.91,3.09,21.96,5.96,23.66,1.87,0.5,45.77,1.43,229.62,,1.96,26.93,0.0
2020-11-14 13:00:00,2020-11-14 14:00:00,217.95,552.83,17.52,67.38,49.28,93.22,3.42,2.38,23.16,5.61,22.06,1.74,0.48,43.02,1.77,239.94,,1.85,27.88,0.0
2020-11-14 14:00:00,2020-11-14 15:00:00,185.85,520.42,10.3,62.59,41.01,74.38,3.05,2.49,30.57,5.45,14.9,1.06,0.3,43.43,1.98,246.54,,1.14,28.07,0.0
2020-11-14 15:00:00,2020-11-14 16:00:00,187.3,535.17,7.88,56.9,36.07,92.07,2.85,2.56,32.7,5.07,17.68,1.23,0.35,43.19,1.45,230.54,,1.35,27.03,0.0
2020-11-14 16:00:00,2020-11-14 17:00:00,171.8,457.3,10.75,62.07,41.09,106.64,2.83,2.58,27.01,4.91,24.15,1.71,0.49,44.11,1.45,233.3,,1.9,25.81,0.0
2020-11-14 17:00:00,2020-11-14 18:00:00,177.38,355.67,78.72,99.22,115.02,135.7,3.3,4.19,24.39,6.03,27.04,2.02,0.58,52.37,1.74,235.25,,2.26,24.15,0.0
2020-11-14 18:00:00,2020-11-14 19:00:00,201.12,625.88,119.75,91.48,143.65,162.8,3.44,5.51,19.61,8.95,27.8,2.19,0.61,60.17,2.38,234.99,,2.44,23.53,0.0
2020-11-14 19:00:00,2020-11-14 20:00:00,233.53,896.77,127.37,71.89,139.59,181.94,3.36,5.32,13.98,9.87,32.33,2.47,0.68,64.41,2.94,237.35,,2.72,23.08,0.0
2020-11-14 20:00:00,2020-11-14 21:00:00,296.18,726.93,204.1,89.31,210.15,231.22,3.67,7.09,5.87,10.3,34.58,2.65,0.73,64.6,2.95,236.99,,2.91,22.56,0.0
2020-11-14 21:00:00,2020-11-14 22:00:00,407.53,738.88,192.99,80.63,196.58,216.87,3.89,7.46,4.4,13.09,31.15,2.84,0.74,61.43,2.96,237.34,,2.94,22.91,0.0
2020-11-14 22:00:00,2020-11-14 23:00:00,554.37,847.0,164.84,69.16,168.08,209.74,5.17,6.91,3.88,13.28,30.91,2.82,0.75,60.54,2.95,237.47,,2.96,22.94,0.0
2020-11-14 23:00:00,2020-11-15 00:00:00,581.77,,119.19,36.82,156.01,198.58,6.12,6.33,3.76,12.81,31.63,2.84,0.77,62.51,2.93,233.01,,3.0,22.53,0.0
2020-11-15 00:00:00,2020-11-15 01:00:00,807.47,,114.03,34.41,148.45,187.47,17.47,6.0,3.35,11.63,29.66,4.09,3.53,64.72,2.95,234.92,,4.87,22.14,0.0
2020-11-15 01:00:00,2020-11-15 02:00:00,777.53,,111.42,33.39,144.79,191.14,17.07,5.74,3.56,10.52,29.28,4.45,4.21,65.71,2.92,236.44,,5.26,21.81,0.0
2020-11-15 02:00:00,2020-11-15 03:00:00,652.08,,98.59,31.37,129.96,170.54,16.94,5.12,3.64,9.8,29.99,4.48,4.24,62.36,2.88,232.12,,5.26,22.19,0.0
2020-11-15 03:00:00,2020-11-15 04:00:00,376.8,987.9,78.54,30.28,108.84,151.52,15.78,4.39,3.23,8.4,27.61,4.03,3.88,59.69,2.85,230.75,,4.74,22.49,0.0
2020-11-15 04:00:00,2020-11-15 05:00:00,230.97,704.07,64.25,24.75,89.01,134.9,15.18,3.87,3.18,7.75,27.65,3.88,3.74,61.24,2.84,230.28,,4.6,22.08,0.0
2020-11-15 05:00:00,2020-11-15 06:00:00,217.07,651.42,44.88,24.62,69.51,122.38,14.27,3.12,3.41,6.91,25.97,3.58,3.48,61.31,2.68,220.02,,4.28,22.01,0.0
2020-11-15 06:00:00,2020-11-15 07:00:00,151.75,446.37,13.59,31.51,45.12,70.53,14.43,2.01,5.23,5.94,18.95,2.57,2.58,59.04,1.95,199.1,,3.15,21.67,0.0
2020-11-15 07:00:00,2020-11-15 08:00:00,133.5,398.07,7.14,22.79,29.94,45.03,14.5,2.02,6.39,4.64,12.6,1.56,1.61,58.94,2.16,200.99,,1.95,22.19,0.0
2020-11-15 08:00:00,2020-11-15 09:00:00,153.23,405.57,5.19,21.18,26.37,46.78,13.51,1.96,5.74,4.42,11.53,1.39,1.46,58.61,2.28,193.68,,1.75,22.84,0.0
2020-11-15 09:00:00,2020-11-15 10:00:00,156.72,349.32,5.03,22.63,27.66,65.49,12.92,1.8,7.79,4.18,9.64,1.24,1.33,54.67,1.45,183.3,,1.57,23.07,0.0
2020-11-15 10:00:00,2020-11-15 11:00:00,168.4,398.12,2.59,19.38,21.99,60.54,12.74,1.64,14.1,3.79,7.99,1.02,1.16,50.73,1.52,183.23,,1.33,25.07,0.0
2020-11-15 11:00:00,2020-11-15 12:00:00,180.03,402.25,2.39,17.52,19.89,63.02,12.31,1.4,23.92,3.37,7.04,0.85,1.05,45.81,1.2,175.19,,1.16,25.99,0.0
2020-11-15 12:00:00,2020-11-15 13:00:00,154.97,380.38,0.89,14.85,15.64,55.02,12.78,1.14,32.69,2.8,6.2,0.71,0.98,43.84,1.43,174.29,,1.02,27.98,0.0
2020-11-15 13:00:00,2020-11-15 14:00:00,121.75,410.77,0.73,14.58,14.93,48.52,12.76,1.05,33.74,2.48,5.47,0.62,0.92,43.02,1.62,185.24,,0.85,28.6,0.0
2020-11-15 14:00:00,2020-11-15 15:00:00,116.3,330.42,3.19,17.0,20.19,67.66,12.77,0.94,34.7,2.34,6.16,0.69,1.01,41.95,1.28,173.59,,0.99,28.06,0.0
2020-11-15 15:00:00,2020-11-15 16:00:00,124.58,194.95,4.47,24.04,28.5,81.76,12.53,0.91,34.8,2.37,6.76,0.81,1.17,44.09,1.58,195.88,,1.27,27.56,0.0
2020-11-15 16:00:00,2020-11-15 17:00:00,119.43,252.02,2.9,26.09,28.98,51.99,12.18,1.32,35.12,2.99,9.75,1.14,1.44,58.22,2.75,233.5,,1.6,26.85,0.0
2020-11-15 17:00:00,2020-11-15 18:00:00,129.78,326.95,3.39,25.39,28.79,59.62,11.52,1.21,31.34,3.31,9.84,1.15,1.4,62.65,2.35,192.92,,1.58,25.64,0.0
2020-11-15 18:00:00,2020-11-15 19:00:00,89.15,541.25,4.06,23.25,27.29,80.5,11.58,1.04,24.67,2.53,8.4,0.92,1.22,64.3,2.2,197.49,,1.38,24.89,0.0
2020-11-15 19:00:00,2020-11-15 20:00:00,64.18,418.1,4.27,24.93,29.2,72.29,11.52,0.99,21.61,2.55,9.87,1.09,1.42,64.62,2.53,201.87,,1.7,24.47,0.0
2020-11-15 20:00:00,2020-11-15 21:00:00,89.95,224.78,2.92,22.8,25.72,45.7,11.4,1.21,14.87,2.67,9.37,0.92,1.25,64.49,2.39,199.75,,1.45,24.46,0.0
2020-11-15 21:00:00,2020-11-15 22:00:00,98.57,225.88,3.04,23.47,26.5,58.67,11.56,1.31,14.35,2.68,8.8,0.84,1.16,65.82,2.38,193.01,,1.29,24.12,0.0
2020-11-15 22:00:00,2020-11-15 23:00:00,95.12,243.6,3.91,20.12,24.02,72.18,11.38,1.04,3.51,2.59,10.37,1.01,1.33,68.17,2.4,226.52,,1.58,23.7,0.0
2020-11-15 23:00:00,2020-11-16 00:00:00,128.3,269.27,5.4,22.75,28.22,64.64,11.37,1.05,2.65,2.5,11.95,1.13,1.5,70.52,2.05,209.91,,1.74,23.19,0.0
2020-11-16 00:00:00,2020-11-16 01:00:00,96.38,228.77,3.26,17.01,20.27,41.07,11.34,1.04,2.67,2.43,9.58,0.79,1.1,71.56,2.39,208.61,,1.28,22.8,0.0
2020-11-16 01:00:00,2020-11-16 02:00:00,74.5,231.7,5.84,18.54,24.37,61.58,11.28,0.81,2.64,2.2,10.96,0.81,1.12,70.48,2.76,182.23,,1.33,22.75,0.0
2020-11-16 02:00:00,2020-11-16 03:00:00,116.25,227.47,4.11,16.64,20.75,69.08,11.25,0.62,2.94,1.86,10.02,0.79,1.15,69.97,2.7,180.76,,1.36,22.48,0.0
2020-11-16 03:00:00,2020-11-16 04:00:00,61.25,189.27,2.7,16.25,18.95,43.66,11.16,0.66,3.24,1.88,9.51,0.73,1.09,70.74,2.69,198.82,,1.29,22.24,0.0
2020-11-16 04:00:00,2020-11-16 05:00:00,59.33,174.75,2.85,17.58,20.43,40.91,11.13,0.81,3.42,2.04,9.92,0.7,1.01,72.44,2.38,249.96,,1.18,21.89,0.0
2020-11-16 05:00:00,2020-11-16 06:00:00,61.12,147.1,3.81,16.24,20.06,59.32,10.78,0.65,2.65,2.0,8.55,0.61,0.95,75.91,2.2,229.57,,1.05,20.68,0.0
2020-11-16 06:00:00,2020-11-16 07:00:00,48.8,138.95,4.36,18.93,23.29,64.06,11.1,0.55,2.59,1.88,10.48,0.78,1.13,72.59,2.39,229.57,,1.35,21.17,0.0
2020-11-16 07:00:00,2020-11-16 08:00:00,53.62,167.47,3.04,16.37,19.41,37.1,10.98,0.54,3.94,1.69,9.44,0.67,1.03,69.7,1.95,195.63,,1.19,21.52,0.0
2020-11-16 08:00:00,2020-11-16 09:00:00,50.27,148.82,3.45,16.07,19.52,40.9,10.85,0.66,3.35,1.65,8.12,0.54,0.91,68.72,1.56,188.73,,0.96,21.46,0.0
2020-11-16 09:00:00,2020-11-16 10:00:00,40.38,143.55,4.1,17.32,21.42,61.79,10.96,0.55,2.76,1.58,8.54,0.59,0.96,66.78,2.05,175.56,,1.07,22.1,0.0
2020-11-16 10:00:00,2020-11-16 11:00:00,52.15,162.05,3.14,15.2,18.34,47.34,10.85,0.32,6.85,1.32,7.6,0.56,0.97,64.89,2.08,162.85,,1.05,22.85,0.0
2020-11-16 11:00:00,2020-11-16 12:00:00,53.42,172.6,2.32,13.78,16.1,32.62,8.18,0.45,9.82,0.99,3.33,0.26,0.57,63.41,1.56,179.59,,0.45,23.79,0.0
2020-11-16 12:00:00,2020-11-16 13:00:00,77.1,146.12,2.69,13.66,16.34,49.35,7.93,0.4,16.51,0.99,3.46,0.25,0.53,62.16,1.83,174.94,,0.41,24.61,0.0
2020-11-16 13:00:00,2020-11-16 14:00:00,70.47,137.0,3.36,14.25,17.61,68.51,7.88,0.31,28.18,0.96,3.65,0.31,0.65,61.74,1.35,191.13,,0.52,25.05,0.0
2020-11-16 14:00:00,2020-11-16 15:00:00,59.03,163.3,1.98,15.38,17.35,44.0,7.79,0.32,30.69,1.03,3.65,0.36,0.71,61.71,1.22,204.2,,0.56,24.96,0.0
2020-11-16 15:00:00,2020-11-16 16:00:00,,,,,,,,,,,,,,,,,,,,
2020-11-16 16:00:00,2020-11-16 17:00:00,68.3,153.9,3.67,19.02,22.7,59.17,7.77,0.5,24.62,1.42,4.08,0.35,0.62,63.32,1.53,222.73,,0.48,24.68,0.0
2020-11-16 17:00:00,2020-11-16 18:00:00,,,,,,,,,,,,,,,,,,,,
2020-11-16 18:00:00,2020-11-16 19:00:00,,,,,,,,,,,,,,,,,,,,
2020-11-16 19:00:00,2020-11-16 20:00:00,,,,,,,,,,,,,,,,,,,,
2020-11-16 20:00:00,2020-11-16 21:00:00,,,,,,,,,,,,,,,,,,,,
2020-11-16 21:00:00,2020-11-16 22:00:00,,,,,,,,,,,,,,,,,,,,
2020-11-16 22:00:00,2020-11-16 23:00:00,,,,,,,,,,,,,,,,,,,,
2020-11-16 23:00:00,2020-11-17 00:00:00,,,,,,,,,,,,,,,,,,,,
2020-11-17 00:00:00,2020-11-17 01:00:00,,,,,,,,,,,,,,,,,,,,
2020-11-17 01:00:00,2020-11-17 02:00:00,,,,,,,,,,,,,,,,,,,,
2020-11-17 02:00:00,2020-11-17 03:00:00,,,,,,,,,,,,,,,,,,,,
2020-11-17 03:00:00,2020-11-17 04:00:00,,,,,,,,,,,,,,,,,,,,
2020-11-17 04:00:00,2020-11-17 05:00:00,,,,,,,,,,,,,,,,,,,,
2020-11-17 05:00:00,2020-11-17 06:00:00,,,,,,,,,,,,,,,,,,,,
2020-11-17 06:00:00,2020-11-17 07:00:00,,,,,,,,,,,,,,,,,,,,
2020-11-17 07:00:00,2020-11-17 08:00:00,,,,,,,,,,,,,,,,,,,,
2020-11-17 08:00:00,2020-11-17 09:00:00,,,,,,,,,,,,,,,,,,,,
2020-11-17 09:00:00,2020-11-17 10:00:00,90.7,191.15,17.23,47.92,42.3,52.89,8.79,1.35,7.93,1.85,7.27,0.57,0.81,58.97,1.87,225.32,,0.92,23.98,0.0
2020-11-17 10:00:00,2020-11-17 11:00:00,90.15,184.2,16.01,51.95,43.21,54.98,8.89,1.24,8.11,2.22,8.43,0.69,0.87,55.86,1.36,253.57,,0.99,24.32,0.0
2020-11-17 11:00:00,2020-11-17 12:00:00,,,,,,,,,,,,,,,,,,,,
2020-11-17 12:00:00,2020-11-17 13:00:00,,,,,,,,,,,,,,,,,,,,
2020-11-17 13:00:00,2020-11-17 14:00:00,88.95,235.5,2.35,26.7,16.33,37.79,8.25,0.51,25.64,1.81,7.93,0.27,0.47,48.76,1.51,272.9,,0.41,26.92,0.0
2020-11-17 14:00:00,2020-11-17 15:00:00,91.73,218.58,2.09,26.28,17.68,50.57,8.67,0.44,26.25,1.04,4.36,0.24,0.49,47.94,1.02,278.71,,0.35,25.91,0.0
2020-11-17 15:00:00,2020-11-17 16:00:00,88.8,258.12,2.48,30.48,18.44,53.13,9.02,0.41,27.49,0.97,5.8,0.36,0.67,48.32,1.2,277.52,,0.57,26.04,0.0
2020-11-17 16:00:00,2020-11-17 17:00:00,88.77,210.18,2.25,35.27,20.71,41.44,8.9,0.61,19.68,1.28,6.72,0.53,0.88,49.47,1.83,277.55,,0.76,26.68,0.0
2020-11-17 17:00:00,2020-11-17 18:00:00,110.02,205.43,5.81,49.93,31.95,57.17,8.62,0.95,12.27,1.44,7.07,0.57,0.86,52.69,1.81,276.36,,0.76,25.65,0.0
2020-11-17 18:00:00,2020-11-17 19:00:00,112.12,350.0,6.0,51.03,32.71,69.33,8.74,1.15,12.82,2.25,10.89,1.18,1.36,54.4,1.61,265.1,,1.52,24.21,0.0
2020-11-17 19:00:00,2020-11-17 20:00:00,110.58,248.22,10.43,62.8,43.29,66.0,8.92,1.59,13.05,2.9,14.08,1.63,1.71,55.76,1.81,275.35,,2.02,24.19,0.0
2020-11-17 20:00:00,2020-11-17 21:00:00,137.6,234.57,15.66,61.19,47.7,59.18,8.68,2.03,12.7,3.0,11.8,1.39,1.58,58.61,2.34,274.39,,1.8,24.12,0.0
2020-11-17 21:00:00,2020-11-17 22:00:00,124.6,243.22,9.78,53.57,37.81,63.26,8.67,1.7,6.49,2.77,11.48,1.36,1.57,60.8,1.88,278.49,,1.79,22.98,0.0
2020-11-17 22:00:00,2020-11-17 23:00:00,93.47,248.15,7.61,45.54,31.45,68.35,8.38,1.44,3.42,2.35,12.24,1.32,1.59,62.24,1.24,260.07,,1.83,21.34,0.0
2020-11-17 23:00:00,2020-11-18 00:00:00,87.0,221.93,5.57,46.19,29.76,52.1,8.41,1.36,8.0,2.23,13.05,1.35,1.64,63.98,1.27,252.82,,1.85,20.9,0.0
2020-11-18 00:00:00,2020-11-18 01:00:00,72.15,211.47,6.0,23.83,29.82,47.84,3.05,0.92,3.77,2.22,12.45,1.15,1.36,64.85,1.33,259.43,,1.55,20.8,0.0
2020-11-18 01:00:00,2020-11-18 02:00:00,76.38,190.18,7.67,23.35,31.04,65.26,3.02,0.82,3.42,2.16,11.54,1.01,1.23,67.24,2.06,246.62,,1.45,20.88,0.0
2020-11-18 02:00:00,2020-11-18 03:00:00,86.42,164.07,14.71,25.45,40.14,73.25,3.04,0.65,3.48,2.71,11.39,1.08,1.27,69.81,2.53,238.26,,1.41,20.67,0.0
2020-11-18 03:00:00,2020-11-18 04:00:00,74.75,149.05,9.44,22.05,31.5,47.57,3.13,0.64,4.12,2.58,10.33,0.79,0.98,69.71,2.44,248.1,,1.04,20.71,0.0
2020-11-18 04:00:00,2020-11-18 05:00:00,84.15,168.12,7.57,20.21,27.78,49.27,3.0,0.67,3.37,2.33,9.81,0.63,0.8,70.81,2.25,259.5,,0.91,20.37,0.0
2020-11-18 05:00:00,2020-11-18 06:00:00,115.47,187.22,7.81,20.99,28.82,60.19,3.02,0.59,3.58,2.23,8.67,0.55,0.78,71.21,2.2,256.01,,0.84,20.0,0.0
2020-11-18 06:00:00,2020-11-18 07:00:00,93.45,159.8,13.52,22.23,35.75,63.11,3.11,0.61,3.85,2.27,7.92,0.54,0.83,72.81,2.53,239.22,,0.85,19.51,0.0
2020-11-18 07:00:00,2020-11-18 08:00:00,101.22,198.6,12.91,20.56,33.5,50.33,3.11,0.78,3.85,2.32,8.89,0.54,0.8,70.4,2.78,226.69,,0.84,20.18,0.0
2020-11-18 08:00:00,2020-11-18 09:00:00,90.72,340.05,13.58,25.89,39.45,62.3,3.05,0.9,3.16,2.23,10.19,0.61,0.85,62.64,2.09,260.59,,0.97,21.74,0.0
2020-11-18 09:00:00,2020-11-18 10:00:00,91.97,280.7,11.22,26.7,37.91,67.82,3.08,0.74,10.0,2.08,8.08,0.5,0.78,53.92,1.2,267.16,,0.84,22.0,0.0
2020-11-18 10:00:00,2020-11-18 11:00:00,94.35,178.55,4.77,23.67,24.07,43.55,4.45,0.54,23.04,1.5,5.71,0.36,0.67,48.89,1.65,279.68,,0.61,23.92,0.0
2020-11-18 11:00:00,2020-11-18 12:00:00,89.35,226.27,3.51,18.38,21.81,39.88,,0.68,21.18,1.49,3.69,0.23,0.47,46.46,1.46,261.71,,0.34,25.1,0.0
2020-11-18 12:00:00,2020-11-18 13:00:00,116.0,252.6,3.06,15.4,18.5,40.05,,0.53,21.4,1.39,4.95,0.27,0.51,44.46,1.34,257.45,,0.41,25.66,0.0
2020-11-18 13:00:00,2020-11-18 14:00:00,100.97,257.05,2.17,14.7,16.86,39.69,0.74,0.6,24.59,1.71,5.72,0.34,0.54,43.79,1.11,256.67,,0.45,25.33,0.0
2020-11-18 14:00:00,2020-11-18 15:00:00,121.45,253.5,2.19,15.01,17.19,38.06,2.41,0.75,29.59,2.22,6.1,0.37,0.55,44.76,1.62,255.24,,0.46,26.27,0.0
2020-11-18 15:00:00,2020-11-18 16:00:00,114.02,282.5,1.49,17.34,18.8,40.38,2.56,0.78,27.93,2.41,6.68,0.41,0.58,46.71,2.1,274.8,,0.51,26.36,0.0
2020-11-18 16:00:00,2020-11-18 17:00:00,120.8,312.62,2.32,21.14,23.45,45.85,2.55,0.9,21.16,2.04,7.65,0.48,0.64,47.4,2.18,281.35,,0.6,25.81,0.0
2020-11-18 17:00:00,2020-11-18 18:00:00,127.23,324.53,3.61,28.5,32.12,53.35,2.63,1.09,15.41,2.16,9.39,0.74,0.88,48.48,2.54,273.77,,0.94,25.03,0.0
2020-11-18 18:00:00,2020-11-18 19:00:00,128.88,375.02,11.59,35.62,47.22,64.7,2.67,1.51,12.75,3.09,13.29,1.38,1.49,49.11,2.55,262.28,,1.78,24.3,0.0
2020-11-18 19:00:00,2020-11-18 20:00:00,133.8,367.93,35.12,35.97,71.05,85.21,3.02,2.25,12.42,3.84,17.06,1.86,1.78,50.18,2.88,246.6,,2.34,23.7,0.0
2020-11-18 20:00:00,2020-11-18 21:00:00,299.38,403.6,91.44,42.27,133.63,139.08,3.38,3.83,12.35,6.32,25.68,3.11,2.67,51.33,2.86,237.79,,3.68,23.06,0.0
2020-11-18 21:00:00,2020-11-18 22:00:00,250.15,451.38,84.6,36.26,120.9,130.8,3.28,3.7,9.49,7.63,32.48,4.13,3.53,52.95,3.04,223.68,,4.58,22.06,0.0
2020-11-18 22:00:00,2020-11-18 23:00:00,168.8,414.48,70.44,27.91,98.33,115.09,3.33,3.41,4.72,6.72,34.59,3.59,3.17,56.44,3.12,228.44,,4.03,21.11,0.0
2020-11-18 23:00:00,2020-11-19 00:00:00,136.13,442.13,61.49,24.07,85.59,106.6,3.12,2.23,1.43,6.43,33.33,3.38,3.01,59.36,3.13,229.26,,3.82,20.66,0.0
2020-11-19 00:00:00,2020-11-19 01:00:00,81.12,358.55,59.14,24.17,79.77,100.6,4.53,1.68,2.65,5.76,29.48,2.96,2.69,59.71,3.04,240.51,,3.38,20.69,0.0
2020-11-19 01:00:00,2020-11-19 02:00:00,82.8,268.47,50.57,20.48,71.05,94.47,3.16,1.43,2.42,5.17,27.11,2.65,2.45,61.8,2.1,226.46,,3.09,18.88,0.0
2020-11-19 02:00:00,2020-11-19 03:00:00,95.25,223.6,42.23,21.26,63.49,84.86,3.03,0.84,2.58,4.25,23.96,2.31,2.19,63.74,2.07,224.59,,2.75,18.49,0.0
2020-11-19 03:00:00,2020-11-19 04:00:00,93.68,228.85,57.25,21.73,78.98,94.97,2.92,0.56,2.76,3.58,17.66,1.72,1.72,67.1,2.61,229.92,,2.08,18.66,0.0
2020-11-19 04:00:00,2020-11-19 05:00:00,101.43,223.68,118.76,22.25,141.01,144.34,3.1,0.55,1.96,3.52,14.38,1.42,1.44,69.48,2.88,230.27,,1.74,18.59,0.0
2020-11-19 05:00:00,2020-11-19 06:00:00,134.28,222.85,106.4,23.35,129.75,134.27,3.13,0.33,2.54,3.38,17.12,1.31,1.26,67.19,2.86,226.37,,1.55,18.63,0.0
2020-11-19 06:00:00,2020-11-19 07:00:00,148.07,239.57,117.0,31.73,135.81,136.43,3.21,0.42,2.73,3.38,22.57,1.33,1.16,68.92,2.87,228.57,,1.37,18.37,0.0
2020-11-19 07:00:00,2020-11-19 08:00:00,136.4,260.3,105.85,29.32,135.17,135.36,3.19,1.15,8.0,3.4,24.15,1.38,1.19,67.91,2.9,225.8,,1.41,18.77,0.0
2020-11-19 08:00:00,2020-11-19 09:00:00,151.62,309.5,71.03,44.02,115.05,118.06,3.02,1.28,10.41,3.17,23.26,1.36,1.24,59.52,2.03,273.84,,1.43,20.75,0.0
2020-11-19 09:00:00,2020-11-19 10:00:00,122.08,341.43,41.44,41.58,83.02,91.92,2.99,1.21,11.44,2.67,18.39,1.0,0.99,56.26,1.9,253.62,,1.13,22.55,0.0
2020-11-19 10:00:00,2020-11-19 11:00:00,121.9,368.7,21.23,32.17,53.41,70.89,2.94,0.87,32.55,2.56,14.21,0.79,0.86,51.34,1.23,216.67,,0.94,23.25,0.0
2020-11-19 11:00:00,2020-11-19 12:00:00,116.92,310.05,6.1,20.65,26.75,48.52,2.9,0.62,42.57,1.76,8.01,0.42,0.62,47.95,1.52,246.37,,0.56,25.01,0.0
